epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,283.695,0.72394,4.03354,0.83126,0.41679,0.50898,0.449,0.37603,0.6041,1.65078,0.81539,7.39401e-05,7.39401e-05,7.39401e-05
2,533.71,0.61973,1.92295,0.82127,0.65586,0.67171,0.69822,0.5958,0.54092,1.11279,0.80913,0.000133294,0.000133294,0.000133294
3,777.928,0.58355,1.32603,0.81641,0.70319,0.70993,0.76382,0.65565,0.52682,0.97561,0.8063,0.000177996,0.000177996,0.000177996
4,1025.67,0.56491,1.05978,0.81421,0.76817,0.76165,0.80782,0.69811,0.50981,0.81936,0.80443,0.000156066,0.000156066,0.000156066
5,1274.82,0.54634,0.89522,0.80981,0.81233,0.80432,0.84789,0.73805,0.49335,0.72491,0.8011,0.000134088,0.000134088,0.000134088
6,1524.67,0.53461,0.79507,0.80784,0.83312,0.81363,0.86656,0.75882,0.48026,0.66709,0.79831,0.00011211,0.00011211,0.00011211
7,1769.94,0.5212,0.7274,0.80563,0.8239,0.83731,0.87985,0.77253,0.47189,0.62304,0.79687,9.0132e-05,9.0132e-05,9.0132e-05
8,2021.66,0.51097,0.67791,0.80414,0.87117,0.8346,0.89806,0.79141,0.46671,0.57456,0.79499,6.8154e-05,6.8154e-05,6.8154e-05
9,2271.15,0.50339,0.63464,0.80296,0.86848,0.84322,0.90272,0.79741,0.46082,0.56047,0.79417,4.6176e-05,4.6176e-05,4.6176e-05
10,2521.72,0.49733,0.60027,0.80098,0.87325,0.86253,0.91374,0.80767,0.45916,0.53279,0.79371,2.4198e-05,2.4198e-05,2.4198e-05
